tiempo,voltaje
265.408,-232.898
265.416,-171.876
265.433,-255.846
265.436,-173.769
265.448,-221.290
265.457,-233.434
265.466,-172.010
265.476,-255.712
265.493,-174.171
265.496,-220.888
265.506,-233.300
265.517,-172.010
265.526,-255.444
265.542,-174.992
265.546,-221.022
265.557,-233.970
265.567,-170.134
265.576,-255.444
265.586,-174.992
265.598,-220.620
265.609,-234.238
265.618,-171.206
265.627,-254.757
265.636,-174.858
265.649,-219.933
265.659,-234.238
265.668,-171.474
265.676,-255.025
265.686,-175.394
265.696,-220.201
265.706,-234.925
265.722,-172.295
265.727,-255.176
265.736,-175.528
265.748,-219.263
265.756,-234.238
265.772,-171.206
265.777,-255.025
265.786,-175.796
